Question_ID,Question,Expected_Answer,Chatbot_Answer,Similarity,Match,Response_Time_s,Run
11,Este produto tem cobertura de seguro em caso de falecimento?,"Sim. Em caso de morte da pessoa segura ou do seu cônjuge (quando o PPR seja um bem comum por força do regime de bens do casal), durante o período de vigência do contrato, é garantido o reembolso do capital seguro na data da participação da morte.","A Fidelidade My Savings não inclui cobertura de seguro em caso de falecimento. Este produto é um plano de poupança que visa ajudar os clientes a alcançar os seus objetivos financeiros, mas não oferece proteção em caso de morte. Se procura um produto que inclua cobertura de seguro, poderá considerar outras opções disponíveis na Fidelidade. 

Se tiver mais perguntas ou precisar de informações adicionais, estou à disposição!",41,No,3.36,1
12,Posso escolher a componente que pretendo(Ativo ou Proteção)?,"Não. O contrato apenas admite a recomposição automática, pelo que o Tomador do Seguro não tem direito a alterar a composição do investimento. Fiscalidade","Sim, no produto **Fidelidade My Savings**, tens a possibilidade de escolher entre duas componentes: **Ativo** e **Proteção**. 

### Componentes disponíveis:

- **Ativo**: Esta componente é focada na valorização do capital, permitindo que o investimento cresça ao longo do tempo.
  
- **Proteção**: Esta componente oferece uma maior segurança, garantindo a proteção do capital investido.

Podes optar por uma das componentes ou por uma combinação de ambas, dependendo dos teus objetivos financeiros e do teu perfil de risco. Se precisares de mais informações sobre como cada componente funciona ou sobre as suas vantagens, estou à disposição para ajudar!",30,No,3.23,1
13,"Se tiver feito um resgate do meu PPR com mais de 60 anos e com mais de 5 anos de contrato, tenho tributação de 8%?","Não necessariamente, pois se existem entregas com menos de 5 anos essas são tributadas fora das condições legais e portanto a 21,5%.","Sim, se realizaste um resgate do teu PPR (Plano Poupança Reforma) após os 60 anos e com um contrato que tem mais de 5 anos, a tributação sobre os rendimentos é de 8%. Esta é uma das vantagens do PPR, pois a tributação é reduzida para os resgates efetuados nestas condições. Se tiveres mais dúvidas sobre o PPR Evoluir ou outros produtos da Fidelidade, estou à disposição para ajudar!",37,No,3.25,1
14,"Se tiver feito uma entrega de 1.000€ há 10 anos e outra de 100.000€ há 4 anos, e quiser resgatar tendo mais de 60 anos, tenho benefício fiscal na totalidade do valor?","Não, os rendimentos obtidos referentes à entrega com 4 anos serão tributados a 21,5% dado que o contrato não cumpre com a regra dos 35% das entregas na primeira metade do mesmo.","Para obter benefícios fiscais na totalidade do valor resgatado, é importante considerar as regras específicas do PPR Evoluir da Fidelidade. 

No caso de um resgate, se o titular tiver mais de 60 anos e o investimento tiver sido mantido por um período mínimo de 5 anos, poderá beneficiar de isenção de IRS sobre os rendimentos. No entanto, como a entrega de 1.000€ foi feita há 10 anos e a de 100.000€ há 4 anos, apenas a primeira entrega cumpre o requisito de tempo.

Portanto, no resgate, apenas os rendimentos associados à entrega de 1.000€ (que foi mantida por mais de 5 anos) poderão ser isentos de IRS. Os rendimentos da entrega de 100.000€, que foi feita há 4 anos, não estarão isentos, pois não cumpriu o prazo mínimo.

Recomendo que consultes um especialista em fiscalidade para obter uma análise mais detalhada e personalizada da tua situação. Se tiveres mais perguntas sobre os produtos da Fidelidade, estou aqui para ajudar!",25,No,3.3,1
15,A rentabilidade gerada pelo ppr anualmente é alvo de tributaçao anualmente ou apenas no final do contrato ou em caso de resgate antecipado?,Apenas no final do contrato ou se houver resgates. Comissões e Custos,"A rentabilidade gerada pelo PPR Evoluir é tributada apenas no momento do resgate, seja no final do contrato ou em caso de resgate antecipado. Portanto, não há tributação anual sobre a rentabilidade acumulada durante a vigência do PPR. 

Se tiveres mais perguntas sobre o PPR Evoluir ou outros produtos da Fidelidade, estou à disposição!",30,No,4.43,1
16,Qual é a comissão de gestão anual do PPR Evoluir?,"Depende da componente de Investimento do PPR Evoluir. Componente Proteção - Comissão de gestão anual: Não existe; Componente Ativo - Comissão de gestão anual: Até 1,5%. Concorrência","A comissão de gestão anual do PPR Evoluir é de **1%** sobre o capital investido. Se precisares de mais informações ou detalhes sobre este produto, estou à disposição!",44,No,2.06,1
17,Como se diferencia o PPR Evoluir no mercado de soluções PPR com componente de risco?,"O PPR Evoluir distingue-se no mercado de soluções PPR com componente de risco por integrar uma abordagem inovadora que combina segurança e potencial de rentabilidade, ajustando-se automaticamente à idade do investidor. Este produto está disponível na aplicação MySavings, permitindo aos clientes acompanhar a evolução do seu investimento de forma digital e conveniente","O **PPR Evoluir** da Fidelidade destaca-se no mercado de soluções PPR (Planos Poupança Reforma) com componente de risco por várias razões:

### Diferenciação do PPR Evoluir

1. **Flexibilidade de Investimento**:
   - O PPR Evoluir permite ao cliente escolher entre diferentes perfis de investimento, ajustando-se ao seu perfil de risco e objetivos financeiros.

2. **Diversificação**:
   - O produto oferece uma diversificação significativa através de uma combinação de ativos, que pode incluir ações, obrigações e outros instrumentos financeiros, o que ajuda a mitigar riscos.

3. **Gestão Ativa**:
   - A gestão ativa dos investimentos é um dos pontos fortes do PPR Evoluir, permitindo uma adaptação rápida às condições de mercado, o que pode resultar em melhores retornos.

4. **Benefícios Fiscais**:
   - Como qualquer PPR, o PPR Evoluir oferece benefícios fiscais, permitindo deduções no IRS, o que é um atrativo importante para os investidores.

5. **Transparência**:
   - O PPR Evoluir proporciona uma comunicação clara sobre as taxas, custos e a performance dos investimentos, o que é fundamental para a confiança do cliente.

6. **Apoio e Consultoria**:
   - A Fidelidade oferece um suporte personalizado e consultoria para ajudar os clientes a tomar decisões informadas sobre os seus investimentos.

### Comparação com Concorrentes
Em comparação com outros produtos de PPR com componente de risco disponíveis no mercado, o PPR Evoluir pode apresentar vantagens em termos de flexibilidade, gestão ativa e suporte ao cliente, embora a escolha do produto ideal dependa sempre do perfil e objetivos individuais de cada investidor.

Se precisares de mais informações ou detalhes específicos, estou à disposição!",29,No,4.37,1
1,O Fidelidade Savings é mais indicado para que perfil de risco?,"o Fidelidade Savings é adequado para clientes conservadores, através da sua opção Seguro, com capital e rendimento garantido. Para clientes que gostam moderadamente do risco, através da opção Proteção com garantia de 90% do capital investido no vencimento e exposição ao Índice Multiativos. Para clientes propensos ao risco através da opção Dinâmico com 100% de exposição ao Índice Multiativos. Também está disponível a opção ESG, que investe no índice Multiativos ESG, com risco mas ESG, para clientes com preocupações Ambientais, Sociais e de Governança.","O **Fidelidade My Savings** é mais indicado para investidores com um perfil de risco **conservador**. Este produto é projetado para aqueles que procuram uma forma de poupança segura, com um foco na preservação do capital e na obtenção de rendimentos estáveis ao longo do tempo. 

Se tiveres mais perguntas sobre este produto ou sobre o PPR Evoluir, estou à disposição para ajudar!",46,No,3.13,2
2,"Fiz uma poupança Kid's para os meus 3 filhos, como garanto que cada um tem direito ao que lá tem?","Deverá alterar a cláusula beneficiária, solicitando a um agente Fidelidade que faça a alteração da cláusula beneficiária de acordo com o procedimento em vigor. Fiscalidade","Olá! Para garantir que cada um dos teus filhos tem direito ao que está na poupança Kid's, é importante que a conta esteja devidamente organizada e que cada filho tenha a sua parte claramente identificada. Aqui estão algumas sugestões:

1. **Contas Separadas**: Se possível, abre uma conta de poupança separada para cada filho. Assim, fica mais fácil acompanhar quanto cada um tem.

2. **Registos**: Mantém um registo detalhado das contribuições feitas para cada conta. Isso pode incluir depósitos, rendimentos e qualquer outro movimento.

3. **Documentação**: Certifica-te de que tens toda a documentação necessária que comprove a titularidade de cada conta e os direitos de cada filho sobre os valores.

4. **Consulta com a Fidelidade**: Considera entrar em contacto com a Fidelidade para obter informações específicas sobre a gestão da poupança Kid's e como garantir que cada filho tem direito ao que lhe pertence.

Se precisares de mais informações sobre produtos específicos da Fidelidade, como o My Savings ou o PPR Evoluir, estou à disposição para ajudar!",22,No,3.17,2
3,O Fidelidade Savings permite dedução no IRS?,"não. No entanto ao fim de 5 anos a taxa de imposto sobre os rendimentos obtidos no produto baixa de 28% para 22,4% e ao fim de 8 anos baixa para 11,2%.","O produto **Fidelidade My Savings** não permite dedução no IRS. Este produto é uma solução de poupança que oferece uma rentabilidade garantida, mas não está associado a benefícios fiscais como a dedução no IRS, ao contrário de produtos como os PPR (Planos Poupança Reforma). Se tiveres mais perguntas sobre este produto ou sobre o PPR Evoluir, estou à disposição para ajudar!",36,No,3.16,2
4,"Tenho de pagar algum imposto sobre os lucros, ou o rendimento já é líquido?",Os impostos sobre o rendimento obtido são retidos na fonte pela Companhia.,"Os produtos da Fidelidade, como o My Savings e o PPR Evoluir, têm implicações fiscais que é importante considerar. 

### My Savings
Os rendimentos obtidos através do My Savings são sujeitos a impostos. O imposto sobre os juros é retido na fonte, o que significa que os rendimentos que recebes já são líquidos de impostos.

### PPR Evoluir
No caso do PPR Evoluir, os rendimentos também são sujeitos a impostos. Contudo, existe uma vantagem fiscal: os montantes aplicados em PPR podem beneficiar de deduções fiscais, dependendo do montante investido e da situação fiscal do cliente. Os rendimentos são tributados apenas no momento do resgate, e a taxa de imposto pode ser reduzida se o resgate ocorrer após um período de 5 anos.

### Resumo
- **My Savings**: Rendimentos líquidos de impostos (imposto retido na fonte).
- **PPR Evoluir**: Rendimentos tributados no resgate, com possibilidade de deduções fiscais.

Se tiveres mais perguntas ou precisares de mais informações, estou à disposição!",14,No,3.11,2
5,Porque razão o resgate pedido é inferior ao valor recebido?,"Devido à Regra FIFO, onde são resgatadas as unidades de participação mais antigas e sobre as quais, havendo lucro, incide a tributação. Comissões e Custos","O valor recebido no resgate pode ser inferior ao valor solicitado por várias razões, que podem incluir:

1. **Impostos e Taxas**: O montante a receber pode ser afetado por impostos ou taxas aplicáveis ao resgate do produto.

2. **Penalizações por Resgate Antecipado**: Se o resgate for feito antes do prazo acordado, pode haver penalizações que reduzem o valor final recebido.

3. **Variação do Valor de Mercado**: No caso de produtos que estão sujeitos a variações de mercado, o valor do resgate pode ser impactado por flutuações no mercado financeiro.

4. **Condições Específicas do Produto**: Cada produto financeiro pode ter condições específicas que afetam o valor do resgate, como cláusulas contratuais.

Se precisar de informações mais detalhadas sobre um produto específico da Fidelidade, como o My Savings ou o PPR Evoluir, por favor, indique qual é para que eu possa ajudar melhor.",24,No,3.33,2
6,Qual é a comissão de gestão anual do Fidelidade Savings?,"nas opções com risco a comissão de Gestão é no máximo 1,2%. Na opção com capital e rendimento garantido, a opção Seguro, não há cobrança de nenhuma comissão de Gestão. Também não há comissão de subscrição ou resgate em nenhuma das opções de investimento ou poupança. Rentabilidade e Performance","A comissão de gestão anual do **Fidelidade My Savings** é de **1%** sobre o montante investido. Se precisares de mais informações ou de comparações com outros produtos, estou à disposição!",40,No,2.17,2
7,Quais os riscos associados ao Fidelidade Savings para o cliente?,"Depende da opção escolhida. A opção Seguro tem capital e rendimento garantido. As restantes opções têm risco de rendimento e capital, mas a opção proteção garante 90% do capital investido na data de vencimento do investimento ou do objectivo. Concorrência","Os riscos associados ao produto **Fidelidade My Savings** incluem:

1. **Risco de Mercado**: O valor dos investimentos pode variar em função das condições de mercado, o que pode impactar o retorno final.

2. **Risco de Liquidez**: Pode haver dificuldades em resgatar o investimento em determinados momentos, especialmente se o cliente precisar de acesso imediato aos fundos.

3. **Risco de Taxas**: A aplicação de taxas de gestão ou outras comissões pode reduzir o retorno do investimento.

4. **Risco de Capital**: Dependendo da estrutura do produto, existe a possibilidade de perda de parte do capital investido.

5. **Risco de Taxa de Juro**: As flutuações nas taxas de juro podem afetar o rendimento dos produtos de poupança.

É importante que os clientes estejam cientes desses riscos e considerem a sua situação financeira e objetivos antes de investir. Se tiveres mais perguntas ou precisares de mais informações, estou à disposição!",33,No,3.22,2
8,O Fidelidade Savings (opção segura) é competitivo face aos certificados do Tesouro Português?,"Sim, começa por ser mais flexível na movimentação, não tem restrições nem custos. A taxa de rendimento garantida é de 80% da Euribor a 6 meses, tendo sido normalmente superior. Há momentos em que estamos melhor que os Certificados e momentos em que estamos pior, depende da evolução das taxas. Nos momentos em que as taxas estão a descer a opção seguro tem uma resiliência maior porque só é revista de seis em seis meses. Funcionamento","Para responder a essa questão, é importante considerar as características do produto **Fidelidade My Savings** em comparação com os **certificados do Tesouro Português**.

### Fidelidade My Savings
- **Tipo de Produto**: Poupança com capital garantido.
- **Rendimento**: O rendimento é fixo e garantido, proporcionando segurança ao investidor.
- **Liquidez**: O produto pode ter diferentes prazos de liquidez, dependendo da opção escolhida.

### Certificados do Tesouro Português
- **Tipo de Produto**: Títulos de dívida pública.
- **Rendimento**: O rendimento pode variar, dependendo das taxas de juro do mercado e do tipo de certificado.
- **Liquidez**: Geralmente, os certificados do Tesouro têm uma liquidez que pode ser mais restrita em comparação com produtos de poupança.

### Comparação
- **Segurança**: Ambos os produtos oferecem segurança, mas o **Fidelidade My Savings** garante o capital investido, enquanto os certificados do Tesouro, embora considerados seguros, estão sujeitos a variações de mercado.
- **Rendimento**: O rendimento do **Fidelidade My Savings** é fixo e previsível, enquanto os certificados do Tesouro podem oferecer rendimentos variáveis, dependendo das condições do mercado.
- **Liquidez**: O **Fidelidade My Savings** pode oferecer maior flexibilidade em termos de liquidez, dependendo da opção escolhida.

Em resumo, o **Fidelidade My Savings** pode ser considerado uma opção competitiva para investidores que procuram segurança e previsibilidade em comparação com os certificados do Tesouro Português, especialmente para aqueles que valorizam a garantia do capital e um rendimento fixo.",31,No,4.31,2
9,Posso subscrever e resgatar em qualquer momento?,Sim posso. Ao fim de três dias uteis o valor resgatado está na conta bancaria associada. Não há encargos de resgate. 2) PPR EVOLUIR Informações Gerais sobre os Produtos,"Olá! 

Em relação aos produtos **My Savings** e **PPR Evoluir** da Fidelidade:

### My Savings
- **Subscrição**: Podes subscrever o produto a qualquer momento.
- **Resgate**: O resgate é flexível e pode ser feito a qualquer momento, mas é importante considerar que pode haver penalizações ou condições específicas associadas ao resgate antecipado.

### PPR Evoluir
- **Subscrição**: Também é possível subscrever a qualquer momento.
- **Resgate**: O PPR Evoluir permite o resgate em determinadas condições, como a reforma, mas o resgate antecipado pode ter implicações fiscais e penalizações.

Se precisares de mais informações ou detalhes específicos sobre algum dos produtos, estou à disposição!",31,No,3.18,2
10,Que tipo de investimento é o PPR Evoluir — Capital e rendimento garantido ou tem risco?,"Ambos. O PPR Evoluir da Fidelidade é um produto de investimento que combina segurança e potencial de rentabilidade, adaptando-se à idade do cliente através de duas componentes distintas: Componente Proteção: Oferece capital e rendimento garantidos, proporcionando segurança ao investimento.; Componente Ativo: Não possui garantias de capital nem de rendimento, apresentando um nível de risco baixo, mas com maior potencial de rentabilidade. A alocação entre estas componentes ajusta-se automaticamente com base na idade do cliente, aumentando a proporção da Componente Proteção à medida que se aproxima da reforma, até um máximo de 60%.","O PPR Evoluir é um produto de Poupança e Reforma que oferece **rendimento variável**, o que significa que não garante um capital e rendimento fixos. Este produto está sujeito a riscos de mercado, uma vez que os seus rendimentos dependem da evolução dos ativos em que o capital é investido.

Em resumo:
- **Tipo de investimento**: PPR com rendimento variável.
- **Risco**: Sim, está sujeito a riscos de mercado e não garante capital ou rendimento fixo.

Se precisares de mais informações ou detalhes específicos, estou à disposição!",46,No,3.13,2
11,Este produto tem cobertura de seguro em caso de falecimento?,"Sim. Em caso de morte da pessoa segura ou do seu cônjuge (quando o PPR seja um bem comum por força do regime de bens do casal), durante o período de vigência do contrato, é garantido o reembolso do capital seguro na data da participação da morte.","A Fidelidade My Savings não inclui cobertura de seguro em caso de falecimento. Este produto é focado na poupança e na acumulação de capital, sem a componente de seguro de vida. Se estiveres à procura de um produto que ofereça essa cobertura, poderás considerar outras opções de seguros de vida disponíveis na Fidelidade. 

Se tiveres mais perguntas ou precisares de mais informações, estou à disposição!",42,No,3.13,2
12,Posso escolher a componente que pretendo(Ativo ou Proteção)?,"Não. O contrato apenas admite a recomposição automática, pelo que o Tomador do Seguro não tem direito a alterar a composição do investimento. Fiscalidade","Sim, no produto **Fidelidade My Savings**, tens a possibilidade de escolher entre duas componentes: **Ativo** e **Proteção**. 

### Componente Ativo
- Foca-se na valorização do capital investido, através de uma gestão ativa dos investimentos.

### Componente Proteção
- Tem como objetivo garantir a proteção do capital, oferecendo uma maior segurança em relação às flutuações do mercado.

A escolha entre estas componentes depende dos teus objetivos financeiros e do teu perfil de risco. Se precisares de mais informações ou ajuda para decidir, estou à disposição!",31,No,3.21,2
13,"Se tiver feito um resgate do meu PPR com mais de 60 anos e com mais de 5 anos de contrato, tenho tributação de 8%?","Não necessariamente, pois se existem entregas com menos de 5 anos essas são tributadas fora das condições legais e portanto a 21,5%.","Sim, se realizaste um resgate do teu PPR (Plano Poupança Reforma) após os 60 anos e com um contrato que tem mais de 5 anos, a tributação sobre os rendimentos é de 8%. Esta é uma das vantagens do PPR, pois a tributação é reduzida em comparação com outros produtos de investimento. Se tiveres mais dúvidas ou precisares de mais informações, estou à disposição!",35,No,3.1,2
14,"Se tiver feito uma entrega de 1.000€ há 10 anos e outra de 100.000€ há 4 anos, e quiser resgatar tendo mais de 60 anos, tenho benefício fiscal na totalidade do valor?","Não, os rendimentos obtidos referentes à entrega com 4 anos serão tributados a 21,5% dado que o contrato não cumpre com a regra dos 35% das entregas na primeira metade do mesmo.","Para responder à tua pergunta sobre o resgate e os benefícios fiscais, é importante considerar as regras específicas do PPR Evoluir da Fidelidade.

Se tens mais de 60 anos e realizaste entregas em diferentes momentos, o benefício fiscal pode ser aplicado ao montante total do resgate, desde que as entregas tenham sido feitas em conformidade com as condições do produto. No entanto, é fundamental verificar se as entregas estão dentro dos prazos e limites estabelecidos pela legislação em vigor.

Em geral, os benefícios fiscais são aplicáveis a resgates de PPR quando:

- O titular do PPR tem mais de 60 anos.
- As entregas foram feitas de acordo com as normas do produto.

Para uma análise mais detalhada e específica sobre a tua situação, recomendo que consultes a documentação oficial ou um consultor da Fidelidade, que poderá fornecer informações personalizadas e atualizadas.",27,No,3.08,2
15,A rentabilidade gerada pelo ppr anualmente é alvo de tributaçao anualmente ou apenas no final do contrato ou em caso de resgate antecipado?,Apenas no final do contrato ou se houver resgates. Comissões e Custos,"A rentabilidade gerada pelo PPR (Plano Poupança Reforma) é tributada apenas no momento do resgate, seja no final do contrato ou em caso de resgate antecipado. Portanto, não há tributação anual sobre a rentabilidade acumulada durante o período de investimento. 

Se tiveres mais perguntas sobre o PPR Evoluir ou outros produtos da Fidelidade, estou à disposição para ajudar!",28,No,3.13,2
16,Qual é a comissão de gestão anual do PPR Evoluir?,"Depende da componente de Investimento do PPR Evoluir. Componente Proteção - Comissão de gestão anual: Não existe; Componente Ativo - Comissão de gestão anual: Até 1,5%. Concorrência","A comissão de gestão anual do PPR Evoluir é de **1%** sobre o capital investido. Se precisares de mais informações ou detalhes sobre este produto, estou à disposição!",44,No,1.92,2
